site_id,date,reason
2452,2001-03-15,missing_observed_percent_bleaching
2453,2001-03-15,missing_observed_percent_bleaching
2454,2001-03-15,missing_observed_percent_bleaching
2455,2001-03-15,missing_observed_percent_bleaching
2456,2001-03-15,missing_observed_percent_bleaching
2457,2001-03-15,missing_observed_percent_bleaching
2458,2001-03-15,missing_observed_percent_bleaching
2459,2001-03-15,missing_observed_percent_bleaching
2460,2001-03-15,missing_observed_percent_bleaching
2461,2001-03-15,missing_observed_percent_bleaching
2462,2001-03-15,missing_observed_percent_bleaching
2463,2001-03-15,missing_observed_percent_bleaching
2464,2001-03-15,missing_observed_percent_bleaching
2465,2001-03-15,missing_observed_percent_bleaching
2466,2001-03-15,missing_observed_percent_bleaching
2467,2001-03-15,missing_observed_percent_bleaching
2468,2001-03-15,missing_observed_percent_bleaching
2469,2001-03-15,missing_observed_percent_bleaching
2470,2001-03-15,missing_observed_percent_bleaching
2471,2001-03-15,missing_observed_percent_bleaching
2472,2001-03-15,missing_observed_percent_bleaching
2473,2001-03-15,missing_observed_percent_bleaching
2474,2001-03-15,missing_observed_percent_bleaching
2475,2001-03-15,missing_observed_percent_bleaching
2476,2001-03-15,missing_observed_percent_bleaching
2477,2001-03-15,missing_observed_percent_bleaching
2478,2001-03-15,missing_observed_percent_bleaching
2479,2001-03-15,missing_observed_percent_bleaching
2480,2001-03-15,missing_observed_percent_bleaching
2481,2001-03-15,missing_observed_percent_bleaching
2482,2001-03-15,missing_observed_percent_bleaching
2483,2001-03-15,missing_observed_percent_bleaching
2484,2001-03-15,missing_observed_percent_bleaching
2485,2001-03-15,missing_observed_percent_bleaching
2486,2001-03-15,missing_observed_percent_bleaching
2487,2001-03-15,missing_observed_percent_bleaching
2488,2001-03-15,missing_observed_percent_bleaching
2489,2001-03-15,missing_observed_percent_bleaching
2490,2001-03-15,missing_observed_percent_bleaching
2491,2001-03-15,missing_observed_percent_bleaching
2492,2001-03-15,missing_observed_percent_bleaching
2503,2001-05-15,missing_observed_percent_bleaching
2504,2001-05-15,missing_observed_percent_bleaching
2505,2001-05-15,missing_observed_percent_bleaching
2506,2001-05-15,missing_observed_percent_bleaching
2507,2001-05-15,missing_observed_percent_bleaching
2508,2001-05-15,missing_observed_percent_bleaching
2509,2001-05-15,missing_observed_percent_bleaching
2510,2001-05-15,missing_observed_percent_bleaching
2511,2001-05-15,missing_observed_percent_bleaching
2512,2001-05-15,missing_observed_percent_bleaching
2513,2001-05-15,missing_observed_percent_bleaching
2514,2001-05-15,missing_observed_percent_bleaching
2515,2001-05-15,missing_observed_percent_bleaching
2516,2001-05-15,missing_observed_percent_bleaching
2517,2001-05-15,missing_observed_percent_bleaching
2520,2001-04-04,missing_observed_percent_bleaching
2520,2002-02-06,missing_observed_percent_bleaching
2520,2004-07-06,missing_observed_percent_bleaching
2521,2001-02-22,missing_observed_percent_bleaching
2521,2002-02-06,missing_observed_percent_bleaching
2522,1998-06-15,missing_observed_percent_bleaching
2523,1998-06-15,missing_observed_percent_bleaching
2524,2001-06-15,missing_observed_percent_bleaching
2525,2001-06-15,missing_observed_percent_bleaching
2526,2001-06-15,missing_observed_percent_bleaching
2527,2001-06-15,missing_observed_percent_bleaching
2528,2001-06-15,missing_observed_percent_bleaching
2529,2001-06-15,missing_observed_percent_bleaching
2530,2001-06-15,missing_observed_percent_bleaching
2531,2001-06-15,missing_observed_percent_bleaching
2532,2001-06-15,missing_observed_percent_bleaching
2533,2001-06-15,missing_observed_percent_bleaching
2534,2001-06-15,missing_observed_percent_bleaching
2535,2001-06-15,missing_observed_percent_bleaching
2536,2001-06-15,missing_observed_percent_bleaching
2537,2001-06-15,missing_observed_percent_bleaching
2576,2001-08-15,missing_observed_percent_bleaching
2577,2001-08-15,missing_observed_percent_bleaching
2578,2001-08-15,missing_observed_percent_bleaching
2579,2001-08-15,missing_observed_percent_bleaching
2580,2001-08-15,missing_observed_percent_bleaching
2581,2001-08-15,missing_observed_percent_bleaching
2582,2001-08-15,missing_observed_percent_bleaching
2583,2001-08-15,missing_observed_percent_bleaching
2584,2001-08-15,missing_observed_percent_bleaching
2585,2001-08-15,missing_observed_percent_bleaching
2586,2001-08-15,missing_observed_percent_bleaching
2587,2001-08-15,missing_observed_percent_bleaching
2588,2001-08-15,missing_observed_percent_bleaching
2589,2001-08-15,missing_observed_percent_bleaching
2590,2001-08-15,missing_observed_percent_bleaching
2591,2001-08-15,missing_observed_percent_bleaching
2592,2001-08-15,missing_observed_percent_bleaching
2593,2001-08-15,missing_observed_percent_bleaching
2594,2001-08-15,missing_observed_percent_bleaching
2595,2001-08-15,missing_observed_percent_bleaching
2596,2001-08-15,missing_observed_percent_bleaching
2597,2001-08-15,missing_observed_percent_bleaching
2598,2001-08-15,missing_observed_percent_bleaching
2599,2001-08-15,missing_observed_percent_bleaching
2600,2001-08-15,missing_observed_percent_bleaching
2720,2010-05-08,missing_observed_percent_bleaching
2737,2004-07-15,missing_observed_percent_bleaching
2738,2004-07-15,missing_observed_percent_bleaching
2739,2004-07-15,missing_observed_percent_bleaching
2751,2003-08-15,missing_observed_percent_bleaching
2752,2003-08-15,missing_observed_percent_bleaching
2753,2003-08-15,missing_observed_percent_bleaching
2754,2003-08-15,missing_observed_percent_bleaching
2755,2003-08-15,missing_observed_percent_bleaching
2756,2003-08-15,missing_observed_percent_bleaching
2757,2003-08-15,missing_observed_percent_bleaching
2758,2003-08-15,missing_observed_percent_bleaching
2759,2003-08-15,missing_observed_percent_bleaching
2760,2004-08-15,missing_observed_percent_bleaching
2761,2004-08-15,missing_observed_percent_bleaching
2762,2004-08-15,missing_observed_percent_bleaching
