site_id,date,sample_row_count,unique_percent_bleaching_values,observed_percent_bleaching_min,observed_percent_bleaching_max,label_is_comment_derived,provenance_sources,provenance_sample_ids
2221,2005-08-15,2,2,3.0,40.0,False,"[""Donner""]","[""10324048"", ""10324049""]"
2222,2005-08-15,2,2,5.0,30.0,False,"[""Donner""]","[""10324050"", ""10324051""]"
2223,2005-08-15,3,3,5.0,70.0,True,"[""Donner""]","[""10324052"", ""10324053"", ""10324054""]"
2224,2005-08-15,2,2,7.0,30.0,False,"[""Donner""]","[""10324055"", ""10324056""]"
2226,2005-09-15,2,2,1.0,2.5,False,"[""Donner""]","[""10324058"", ""10324059""]"
2227,2005-09-15,2,2,3.0,8.0,False,"[""Donner""]","[""10324060"", ""10324061""]"
2228,2005-09-15,2,2,1.0,3.0,False,"[""Donner""]","[""10324062"", ""10324063""]"
2231,2005-08-15,3,2,30.0,40.0,False,"[""Donner""]","[""10324067"", ""10324068"", ""10324069""]"
2232,2005-08-15,2,2,40.0,75.0,True,"[""Donner""]","[""10324070"", ""10324071""]"
2242,2005-09-15,2,2,1.0,2.0,False,"[""Donner""]","[""10324081"", ""10324082""]"
2244,2006-09-15,4,3,1.0,5.0,False,"[""Donner""]","[""10324084"", ""10324085"", ""10324086"", ""10324087""]"
2250,2005-09-15,2,2,1.5,2.0,False,"[""Donner""]","[""10324102"", ""10324103""]"
2257,2005-09-15,2,2,25.0,100.0,False,"[""Donner""]","[""10324111"", ""10324113""]"
227,2012-09-16,4,2,0.0,0.75,False,"[""Reef_Check""]","[""10314977"", ""10314982""]"
2281,2005-10-15,7,6,10.0,95.0,True,"[""Donner""]","[""10324132"", ""10324133"", ""10324134"", ""10324136"", ""10324137"", ""10324138"", ""10324140""]"
2332,2001-07-15,2,2,5.5,75.0,True,"[""Donner""]","[""10324190"", ""10324191""]"
239,2016-03-11,4,2,3.25,7.5,False,"[""Reef_Check""]","[""10314901"", ""10314905""]"
239,2017-01-28,4,2,0.25,0.75,False,"[""Reef_Check""]","[""10314903"", ""10314904""]"
2439,2001-03-15,2,2,1.71,1.82,False,"[""Donner""]","[""10324263"", ""10324264""]"
244,2014-05-24,4,2,1.75,4.25,False,"[""Reef_Check""]","[""10314907"", ""10314911""]"
244,2014-11-30,4,2,6.25,12.5,False,"[""Reef_Check""]","[""10314908"", ""10314917""]"
249,2016-11-04,4,2,0.75,1.0,False,"[""Reef_Check""]","[""10314878"", ""10314886""]"
2549,2001-08-15,2,2,1.3,2.82,False,"[""Donner""]","[""10324385"", ""10324386""]"
2614,2005-09-15,2,2,50.0,75.0,True,"[""Donner""]","[""10324460"", ""10324461""]"
2615,2005-09-15,3,3,24.4,42.9,False,"[""Donner""]","[""10324462"", ""10324463"", ""10324464""]"
2615,2005-12-15,3,3,17.7,21.8,False,"[""Donner""]","[""10324465"", ""10324466"", ""10324467""]"
2630,2005-07-26,4,2,5.25,15.0,False,"[""Reef_Check""]","[""10320513"", ""10320514""]"
2631,2004-05-07,4,2,0.25,1.0,False,"[""Reef_Check""]","[""10320549"", ""10320550""]"
2632,2004-06-08,4,2,1.5,4.0,False,"[""Reef_Check""]","[""10320515"", ""10320516""]"
2633,2004-06-21,4,2,2.5,3.5,False,"[""Reef_Check""]","[""10320446"", ""10320447""]"
2672,2008-04-28,4,2,0.0,0.75,False,"[""Reef_Check""]","[""10317768"", ""10317769""]"
